#,,,,,"generated_by='OpenQuake engine 3.23.0', start_date='2025-04-07T12:19:27', checksum=1985872743, investigation_time=50.0, mag_bin_edges=[4.75, 5.0, 5.25, 5.5, 5.75, 6.0, 6.25, 6.5, 6.75, 7.0, 7.25], dist_bin_edges=[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0], lon_bin_edges=[12.791458131336514, 14.008341868663488], lat_bin_edges=[41.90104, 42.800360000000005], eps_bin_edges=[-3.0, 3.0], tectonic_region_types=['Active Shallow Crust'], lon=13.3999, lat=42.3507, weights=[1.0], rlz_ids=[0]"
imt,iml,poe,mag,dist,rlz0
SA(0.1),3.35992E+00,1.00000E-03,5.62500E+00,3.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,5.62500E+00,3.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,5.62500E+00,4.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,5.62500E+00,4.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,5.87500E+00,2.50000E+00,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,5.87500E+00,7.50000E+00,1.47225E-04
SA(0.1),3.35992E+00,1.00000E-03,5.87500E+00,1.25000E+01,4.11946E-06
SA(0.1),3.35992E+00,1.00000E-03,5.87500E+00,1.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,5.87500E+00,2.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,5.87500E+00,2.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,5.87500E+00,3.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,5.87500E+00,3.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,5.87500E+00,4.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,5.87500E+00,4.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.12500E+00,2.50000E+00,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.12500E+00,7.50000E+00,1.07178E-04
SA(0.1),3.35992E+00,1.00000E-03,6.12500E+00,1.25000E+01,7.73645E-06
SA(0.1),3.35992E+00,1.00000E-03,6.12500E+00,1.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.12500E+00,2.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.12500E+00,2.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.12500E+00,3.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.12500E+00,3.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.12500E+00,4.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.12500E+00,4.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.37500E+00,2.50000E+00,2.20925E-05
SA(0.1),3.35992E+00,1.00000E-03,6.37500E+00,7.50000E+00,1.09991E-04
SA(0.1),3.35992E+00,1.00000E-03,6.37500E+00,1.25000E+01,2.26261E-05
SA(0.1),3.35992E+00,1.00000E-03,6.37500E+00,1.75000E+01,2.04562E-06
SA(0.1),3.35992E+00,1.00000E-03,6.37500E+00,2.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.37500E+00,2.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.37500E+00,3.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.37500E+00,3.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.37500E+00,4.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.37500E+00,4.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.62500E+00,2.50000E+00,1.81770E-05
SA(0.1),3.35992E+00,1.00000E-03,6.62500E+00,7.50000E+00,3.19838E-05
SA(0.1),3.35992E+00,1.00000E-03,6.62500E+00,1.25000E+01,7.61063E-06
SA(0.1),3.35992E+00,1.00000E-03,6.62500E+00,1.75000E+01,3.16830E-06
SA(0.1),3.35992E+00,1.00000E-03,6.62500E+00,2.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.62500E+00,2.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.62500E+00,3.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.62500E+00,3.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.62500E+00,4.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.62500E+00,4.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.87500E+00,2.50000E+00,2.04839E-05
SA(0.1),3.35992E+00,1.00000E-03,6.87500E+00,7.50000E+00,2.22206E-05
SA(0.1),3.35992E+00,1.00000E-03,6.87500E+00,1.25000E+01,7.94588E-06
SA(0.1),3.35992E+00,1.00000E-03,6.87500E+00,1.75000E+01,5.64160E-06
SA(0.1),3.35992E+00,1.00000E-03,6.87500E+00,2.25000E+01,2.25762E-07
SA(0.1),3.35992E+00,1.00000E-03,6.87500E+00,2.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.87500E+00,3.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.87500E+00,3.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.87500E+00,4.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,6.87500E+00,4.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,7.12500E+00,2.50000E+00,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,7.12500E+00,7.50000E+00,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,7.12500E+00,1.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,7.12500E+00,1.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,7.12500E+00,2.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,7.12500E+00,2.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,7.12500E+00,3.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,7.12500E+00,3.75000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,7.12500E+00,4.25000E+01,0.00000E+00
SA(0.1),3.35992E+00,1.00000E-03,7.12500E+00,4.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,4.87500E+00,2.50000E+00,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,4.87500E+00,7.50000E+00,1.48788E-05
SA(0.1),2.67235E+00,2.49750E-03,4.87500E+00,1.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,4.87500E+00,1.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,4.87500E+00,2.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,4.87500E+00,2.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,4.87500E+00,3.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,4.87500E+00,3.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,4.87500E+00,4.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,4.87500E+00,4.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.12500E+00,2.50000E+00,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.12500E+00,7.50000E+00,9.89686E-05
SA(0.1),2.67235E+00,2.49750E-03,5.12500E+00,1.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.12500E+00,1.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.12500E+00,2.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.12500E+00,2.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.12500E+00,3.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.12500E+00,3.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.12500E+00,4.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.12500E+00,4.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.37500E+00,2.50000E+00,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.37500E+00,7.50000E+00,6.55747E-04
SA(0.1),2.67235E+00,2.49750E-03,5.37500E+00,1.25000E+01,2.34875E-05
SA(0.1),2.67235E+00,2.49750E-03,5.37500E+00,1.75000E+01,1.07077E-05
SA(0.1),2.67235E+00,2.49750E-03,5.37500E+00,2.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.37500E+00,2.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.37500E+00,3.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.37500E+00,3.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.37500E+00,4.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.37500E+00,4.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.62500E+00,2.50000E+00,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.62500E+00,7.50000E+00,4.22480E-04
SA(0.1),2.67235E+00,2.49750E-03,5.62500E+00,1.25000E+01,1.97049E-05
SA(0.1),2.67235E+00,2.49750E-03,5.62500E+00,1.75000E+01,1.04789E-05
SA(0.1),2.67235E+00,2.49750E-03,5.62500E+00,2.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.62500E+00,2.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.62500E+00,3.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.62500E+00,3.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.62500E+00,4.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.62500E+00,4.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.87500E+00,2.50000E+00,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.87500E+00,7.50000E+00,3.16256E-04
SA(0.1),2.67235E+00,2.49750E-03,5.87500E+00,1.25000E+01,3.48268E-05
SA(0.1),2.67235E+00,2.49750E-03,5.87500E+00,1.75000E+01,6.25024E-07
SA(0.1),2.67235E+00,2.49750E-03,5.87500E+00,2.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.87500E+00,2.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.87500E+00,3.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.87500E+00,3.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.87500E+00,4.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,5.87500E+00,4.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,6.12500E+00,2.50000E+00,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,6.12500E+00,7.50000E+00,2.25954E-04
SA(0.1),2.67235E+00,2.49750E-03,6.12500E+00,1.25000E+01,3.70297E-05
SA(0.1),2.67235E+00,2.49750E-03,6.12500E+00,1.75000E+01,4.15527E-06
SA(0.1),2.67235E+00,2.49750E-03,6.12500E+00,2.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,6.12500E+00,2.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,6.12500E+00,3.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,6.12500E+00,3.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,6.12500E+00,4.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,6.12500E+00,4.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,6.37500E+00,2.50000E+00,4.66007E-05
SA(0.1),2.67235E+00,2.49750E-03,6.37500E+00,7.50000E+00,2.29994E-04
SA(0.1),2.67235E+00,2.49750E-03,6.37500E+00,1.25000E+01,7.34268E-05
SA(0.1),2.67235E+00,2.49750E-03,6.37500E+00,1.75000E+01,1.22422E-05
SA(0.1),2.67235E+00,2.49750E-03,6.37500E+00,2.25000E+01,3.95155E-07
SA(0.1),2.67235E+00,2.49750E-03,6.37500E+00,2.75000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,6.37500E+00,3.25000E+01,0.00000E+00
SA(0.1),2.67235E+00,2.49750E-03,6.37500E+00,3.75000E+01,0.00000E+00
